ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,group
98901,8600000US98901,98901,302127226,4352996,7
98639,8600000US98639,98639,33159171,408025,7
99166,8600000US99166,99166,1520119283,4169554,7
22646,8600000US22646,22646,5090174,3964,7
24368,8600000US24368,24368,214338094,486706,7
25315,8600000US25315,25315,19328785,682670,7
24816,8600000US24816,24816,1267334,47087,7
98154,8600000US98154,98154,9147,0,7
26422,8600000US26422,26422,8075777,0,7
26280,8600000US26280,26280,179138654,0,7
84049,8600000US84049,84049,215907749,10468882,7
05485,8600000US05485,05485,476437,0,7
84072,8600000US84072,84072,309596634,0,7
05154,8600000US05154,05154,6863495,148013,7
82201,8600000US82201,82201,4459132884,8455090,7
82443,8600000US82443,82443,3118454975,5504826,7
90743,8600000US90743,90743,214449,1128083,7
25003,8600000US25003,25003,92856232,871843,7
53805,8600000US53805,53805,360282618,5219384,7
81645,8600000US81645,81645,438639892,3579326,7
33867,8600000US33867,33867,11328481,388079,7
54946,8600000US54946,54946,18110,0,7
53228,8600000US53228,53228,13468001,14778,7
03586,8600000US03586,03586,43098998,473827,7
88055,8600000US88055,88055,795015313,71539,7
07424,8600000US07424,07424,14760941,572653,7
07031,8600000US07031,07031,6632781,159946,7
68344,8600000US68344,68344,104063558,251755,7
02457,8600000US02457,02457,413241,0,7
04975,8600000US04975,04975,142318,0,7
50451,8600000US50451,50451,164502449,28367,7
21767,8600000US21767,21767,737108,0,7
71486,8600000US71486,71486,262380543,5486937,7
02176,8600000US02176,02176,12117823,219780,7
26270,8600000US26270,26270,198035799,0,7
25671,8600000US25671,25671,81575507,0,7
11366,8600000US11366,11366,2835025,0,7
56591,8600000US56591,56591,2237280,155131,7
43736,8600000US43736,43736,267882,0,7
16312,8600000US16312,16312,72297,0,7
57429,8600000US57429,57429,70103537,0,7
05252,8600000US05252,05252,100844417,672750,7
79831,8600000US79831,79831,901819083,575258,7
16699,8600000US16699,16699,164936,0,7
36582,8600000US36582,36582,207988543,10480259,7
36904,8600000US36904,36904,587761998,2514735,7
86044,8600000US86044,86044,2606372210,17669385,7
71822,8600000US71822,71822,658095374,15831535,7
19944,8600000US19944,19944,3278990,2748031,7
80480,8600000US80480,80480,3939439509,18154072,7
